scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Conversion,,pai_adolescent,PAI-A,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,"Conversion (moderate elevations may be seen in neurological disorders with CNS impairment involving sensorimotor problems, MS, CVA/stroke, or neuropsychological associated with chronic alcoholism)"
Depression,,pai_adolescent,PAI-A,Psychiatric Disorders,Depression,Depression,,,,rating_scale,t_score,"Depression (person feels hopeless, discouraged and useless)"
Grandiosity,,pai_adolescent,PAI-A,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,"Grandiosity (person may have little capacity to recognize personal limitations, to the point where one is not able to think clearly about one's capabilities) was Above Average."
Health Concerns,,pai_adolescent,PAI-A,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,"Health Concerns (elevations indicate a poor health may be a major component of the self-image, with the person accustomed to being in the patient role)"
Hypervigilance,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Hypervigilance (suggest a person who is pragmatic and skeptical in relationships)
Irritability,,pai_adolescent,PAI-A,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,Irritability (person is very volatile in response to frustration and his judgment in such situations may be poor)
Mania,,pai_adolescent,PAI-A,Psychiatric Disorders,Mania/Hypomania,Mania/Hypomania,,,,rating_scale,t_score,"Mania (scores are associated with disorders such as mania, hypomania, or cyclothymia)"
Obsessive-Compulsive,,pai_adolescent,PAI-A,Psychiatric Disorders,Anxiety,Anxiety Disorder,,,,rating_scale,t_score,Obsessive-Compulsive (scores marked rigidity and significant ruminative concerns) was Below Average.
Paranoia,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Paranoia (individuals are likely to be overtly suspicious and hostile) was Above Average.
Persecution,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Persecution (suggest an individual who is quick to feel that they are being treated inequitably and easily believes that there is concerted effort among others to undermine their best interests) was Above Average.
Phobias,,pai_adolescent,PAI-A,Psychiatric Disorders,Anxiety,Anxiety Disorder,,,,rating_scale,t_score,"Phobias (indicate impairing phobic behaviors, with avoidance of the feared object or situation)"
Physical Aggression,,pai_adolescent,PAI-A,Psychiatric Disorders,Aggression,Aggression,,,,rating_scale,t_score,"Physical Aggression (suggest that losses of temper are more common and that the person is prone to more physical displays of anger, perhaps breaking objects or engaging in physical confrontations)"
Physiological (A),,pai_adolescent,PAI-A,Psychiatric Disorders,Anxiety,Anxiety,,,,rating_scale,t_score,"Physiological (A) (high scorers my not psychologically experience themselves as anxious, but show physiological signs that most people associate with anxiety)"
Physiological (D),,pai_adolescent,PAI-A,Psychiatric Disorders,Depression,Depression,,,,rating_scale,t_score,"Physiological (D) (elevations suggest a change in level of physical functioning, typically with a disturbance in sleep pattern, a decrease in energy and level of sexual interest and a loss of appetite and/or weight loss)"
Psychotic Experiences,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Psychotic Experiences (person may strike others as peculiar and eccentric)
Resentment,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Resentment (increasing tendency to attribute any misfortunes to the neglect of others and to discredit the successes of others as being the result of luck or favoritism)
Schizophrenia,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Schizophrenia (associated with an active schizophrenic episode)
Social Detachment,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Social Detachment (reflects a person who neither desires nor enjoys the meaning to personal relationships)
Somatic Complaints,,pai_adolescent,PAI-A,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,Somatic Complaints (degree of concern about physical functioning and health matters and the extent of perceived impairment arising from somatic symptoms)
Somatization,,pai_adolescent,PAI-A,Psychiatric Disorders,Somatic Symptoms,Somatic Symptom Disorder,,,,rating_scale,t_score,"Somatization (high scorers describe general lethargy and malaise, and the presentation is one of complaintiveness and dissatisfaction)"
Suicidal Ideation,,pai_adolescent,PAI-A,Psychiatric Disorders,Depression,Depression,,,,rating_scale,t_score,Suicidal Ideation (scores are typically of an individual who is seen in clinical settings)
Thought Disorder,,pai_adolescent,PAI-A,Psychiatric Disorders,Schizophrenia Spectrum,Schizophrenia Spectrum Disorder,,,,rating_scale,t_score,Thought Disorder (suggest problems in concentration and decision-making)
Traumatic Stress,,pai_adolescent,PAI-A,Psychiatric Disorders,Anxiety,Anxiety Disorder,,,,rating_scale,t_score,Traumatic Stress (trauma (single or multiple) is the overriding focus of the person's life)
Verbal Aggression,,pai_adolescent,PAI-A,Psychiatric Disorders,Aggression,Aggression,,,,rating_scale,t_score,"Verbal Aggression (reflects a person who is assertive and not intimidated by confrontation and, toward the upper end of this range, he may be verbally aggressive)"
Dominance,,pai_adolescent,PAI-A,Psychosocial Problems,Interpersonal,Interpersonal,,,,rating_scale,t_score,"Dominance (average scores reflect an individual who is likely to be able to adapt to different interpersonal situations, by being able to both take and relinquish control in these relationships as needed) was Above Average."
Nonsupport,,pai_adolescent,PAI-A,Psychosocial Problems,Social Environment,Social Environment,,,,rating_scale,t_score,"Nonsupport (social relationships are perceived as offering little support - family relationships may be either distant or combative, whereas friends are generally seen as unavailable or not helpful when needed)"
Stress,,pai_adolescent,PAI-A,Psychosocial Problems,Social Environment,Social Environment,,,,rating_scale,t_score,Stress (individuals may be experiencing a moderate degree of stress as a result of difficulties in some major life area)
Treatment Rejection,,pai_adolescent,PAI-A,Psychosocial Problems,Treatment Considerations,Treatment Considerations,,,,rating_scale,t_score,"Treatment Rejection (average scores suggest a person who acknowledges major difficulties in their functioning, and perceives an acute need for help in dealing with these problems)"
Warmth,,pai_adolescent,PAI-A,Psychosocial Problems,Interpersonal,Interpersonal,,,,rating_scale,t_score,"Warmth (average scores reflect an individual who is likely to be able to adapt to different interpersonal situations, by being able to tolerate close attachment but also capable of maintaining some distance in relationships as needed)"
Alcohol Problems,,pai_adolescent,PAI-A,Substance Use,Alcohol Use,Alcohol Use Disorder,,,,rating_scale,t_score,Alcohol Problems (are indicative of an individual who may drink regularly and may have experienced some adverse consequences as a result)
Drug Problems,,pai_adolescent,PAI-A,Substance Use,Drug Use,Drug Use Disorder,,,,rating_scale,t_score,Drug Problems (scores are indicative of a person who may use drugs on a fairly regular basis and may have experienced some adverse consequences as a result) was Above Average.
Inconsistency,,pai_adolescent,PAI-A,Symptom Validity,Response Inconsistency,Inconsistency,,,,symptom_validity,t_score,Inconsistency (Inconsistency)
Infrequency,,pai_adolescent,PAI-A,Symptom Validity,Negative Impression,Infrequency,,,,symptom_validity,t_score,Infrequency (Infrequency)
Negative Impression Management,,pai_adolescent,PAI-A,Symptom Validity,Negative Impression,Negative Impression Management,,,,symptom_validity,t_score,Negative impression management/symptom exaggeration
Positive Impression Management,,pai_adolescent,PAI-A,Symptom Validity,Positive Impression,Positive Impression Management,,,,symptom_validity,t_score,"Positive impression management, i.e., denial of problems/symptoms"
Dominant Hand Time,,pegboard,Grooved Pegboard,Motor,Fine Motor Dexterity,Dominant Hand Dexterity,Sequential,Nonverbal,Timed,npsych_test,t_score,Fine-motor dexterity (dominant hand)
Nondominant Hand Time,,pegboard,Grooved Pegboard,Motor,Fine Motor Dexterity,Nondominant Hand Dexterity,Sequential,Nonverbal,Timed,npsych_test,t_score,Nondominant hand dexterity
Receptive Vocabulary,,ppvt5,PPVT-5,Verbal/Language,Receptive Language,Receptive Vocabulary,Simultaneous Processing,Verbal,Untimed,npsych_test,standard_score,a measure of receptive vocabulary and acquired verbal knowledge
Attention Index,rbans_02,rbans,RBANS,Attention/Executive,Attention,Attention Index,Attention,,,npsych_test,standard_score,General attentional and executive functioning
RBANS Digit Span,rbans_03,rbans,RBANS,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,scaled_score,Attention span and auditory attention
RBANS Coding,rbans_04,rbans,RBANS,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,scaled_score,"Efficiency of psychomotor speed, visual scanning ability, and visual-motor coordination"
RBANS Total Index,rbans_01,rbans,RBANS,General Cognitive Ability,Neurocognition,Neurocognitive Index,,,,npsych_test,standard_score,Composite indicator of overall neurocognitive functioning
Immediate Memory Index,rbans_05,rbans,RBANS,Memory,Learning Efficiency,Immediate Memory Index,,,,npsych_test,standard_score,Composite verbal learning of a word list and a logical story
List Learning,rbans_06,rbans,RBANS,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Word list learning
Story Memory,rbans_07,rbans,RBANS,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Expository story learning
Delayed Memory Index,rbans_14,rbans,RBANS,Memory,Delayed Recall,Delayed Memory Index,,,,npsych_test,standard_score,Long-term recall of verbal and nonverbal material
List Recall,rbans_15,rbans,RBANS,Memory,Delayed Recall,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,percentile,Long-term recall of a word list
List Recognition,rbans_16,rbans,RBANS,Memory,Recognition Memory,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,percentile,Delayed recognition of a word list
Story Recall,rbans_17,rbans,RBANS,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Long-term recall of a detailed story
Figure Recall,rbans_18,rbans,RBANS,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Long-term recall and reconstruction of a complex abstract figure
Language Index,rbans_08,rbans,RBANS,Verbal/Language,Language,Language Index,,,,npsych_test,standard_score,General language processing
Picture Naming,rbans_09,rbans,RBANS,Verbal/Language,Word Retrieval,Naming,Knowledge,Verbal,Untimed,npsych_test,percentile,Confrontation naming/expressive vocabulary
Semantic Fluency,rbans_10,rbans,RBANS,Verbal/Language,Fluency,Semantic Fluency,Sequential,Verbal,Timed,npsych_test,scaled_score,Semantic word fluency/generativity
Visuospatial/Constructional Index,rbans_11,rbans,RBANS,Visual Perception/Construction,Spatial,Visuospatial Index,,,,npsych_test,standard_score,Broadband index of visuospatial processing and construction
Figure Copy,rbans_12,rbans,RBANS,Visual Perception/Construction,Organization,Figure Copy,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,The accuracy of copying a figure from a model
Line Orientation,rbans_13,rbans,RBANS,Visual Perception/Construction,Perception,Line Perception,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,Basic perception of visual stimuli
Reliable Digit Span,rds_01,rds,Reliable Digit Span,Performance Validity,Cognitive Effort,Span,,,,validity_indicator,raw_score,Reliable digit span total score of
ROCFT Delayed Recall,rocft_02,rocft,Rey Complex Figure,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Spontaneous, long-term delayed recall (20-25 min) recall and reproduction of a complex abstract figure"
ROCFT Copy,rocft_01,rocft,Rey Complex Figure,Visual Perception/Construction,Organization,Figure Copy,Planning,Nonverbal,Untimed,npsych_test,t_score,"Copying of a complex figure requiring visuospatial integration, planning and organization, and efficient encoding of visuospatial material"
Domestic,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,Domestic/Home Impairments,,,,rating_scale,t_score,Impairments at home/domestic
Family,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,Family Impairment,,,,rating_scale,t_score,Impairments with family
Mobility,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,Mobility,,,,rating_scale,t_score,Mobility impairments
School/Work,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,School/Work,,,,rating_scale,t_score,Impairments in school/work functioning
Self-Care,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,Self-Care,,,,rating_scale,t_score,Functional impairments in self-care
Social,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,Social Impairments,,,,rating_scale,t_score,Social functioning impairment
Total Score,,rsi,Rating Scale of Impairment,Behavioral/Emotional/Social,Functional Impairment,Global Functional Impairment,,,,rating_scale,t_score,A global indicator of functional impairment
"TMT, Part A",tmt_01,tmt,Trail Making Test,Attention/Executive,Processing Speed,Psychomotor Speed,Planning,Nonverbal,Timed,npsych_test,t_score,"Visual search speed, scanning, speed of processing, and motor speed and coordination on Part A of the Trail Making Test"
"TMT, Part B",tmt_02,tmt,Trail Making Test,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,t_score,"Performance on a measures that requires cognitive flexibility, divided attention, visual search, and the ability to shift cognitive sets between number and letter sequences"
TOMM Trial 1,tomm_01,tomm,Test of Memory Malingering,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,,,,validity_indicator,raw_score,TOMM first trial
TOMM Trial 2,tomm_02,tomm,Test of Memory Malingering,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,,,,validity_indicator,raw_score,TOMM second trial
TOPF Standard Score,topf_01,topf,Test of Premorbid Functioning,General Cognitive Ability,Premorbid Ability,Word Reading,Knowledge,Verbal,Untimed,npsych_test,standard_score,An estimate of premorbid verbal ability level
Arithmetic,,wais4,WAIS-IV,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Timed,npsych_test,scaled_score,Solving math word problems in working memory
Cancellation,,wais4,WAIS-IV,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,npsych_test,scaled_score,Selective attention and attentional fluency on a cancellation task
Coding,,wais4,WAIS-IV,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,scaled_score,"Efficiency of psychomotor speed, visual scanning ability, and visual-motor coordination"
Letter-Number Sequencing,,wais4,WAIS-IV,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,Maintenance and resequencing of progressively lengthier number and letter strings in working memory
Symbol Search,,wais4,WAIS-IV,Attention/Executive,Processing Speed,Perceptual Speed,Attention,Nonverbal,Timed,npsych_test,scaled_score,Visual-perceptual decision-making speed
Full Scale (FSIQ),,wais4,WAIS-IV,General Cognitive Ability,General Intelligence,Full Scale IQ,,,,npsych_test,standard_score,General intellectual ability
General Ability (GAI),,wais4,WAIS-IV,General Cognitive Ability,General Intelligence,General Ability Index,,,,npsych_test,standard_score,A subset of intellectual functioning with reduced influences of working memory and processing speed
Perceptual Reasoning (PRI),,wais4,WAIS-IV,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,"Fluid Reasoning (i.e., the ability to use reasoning to identify and apply solutions to problems)"
Processing Speed (PSI),,wais4,WAIS-IV,General Cognitive Ability,Processing Speed,Processing Speed Index,,,,npsych_test,standard_score,Ability to quickly use reasoning to identify and apply solutions to problems
Verbal Comprehension (VCI),,wais4,WAIS-IV,General Cognitive Ability,Knowledge,Crystallized Knowledge,,,,npsych_test,standard_score,"Verbal Comprehension (i.e., the ability to verbalize meaningful concepts, think about verbal information, and express oneself using words)"
Working Memory (WMI),,wais4,WAIS-IV,General Cognitive Ability,Working Memory,Working Memory Capacity,,,,npsych_test,standard_score,"Working memory (i.e., the ability to consciously register maintain and manipulate auditory and visual information)"
Information,,wais4,WAIS-IV,Verbal/Language,Knowledge,World Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,General world knowledge and ability to recall and understand information
Similarities,,wais4,WAIS-IV,Verbal/Language,Reasoning,Word Reasoning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and abstract reasoning
Vocabulary,,wais4,WAIS-IV,Verbal/Language,Knowledge,Word Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and word knowledge
Block Design,,wais4,WAIS-IV,Visual Perception/Construction,Construction,Block Construction,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,Understanding visual-spatial relationships to construct unfamiliar geometric designs from a model
Figure Weights,,wais4,WAIS-IV,Visual Perception/Construction,Reasoning,General Sequential Reasoning,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,General sequential (deductive) reasoning and quantitative reasoning
Matrix Reasoning,,wais4,WAIS-IV,Visual Perception/Construction,Reasoning,Nonverbal Reasoning,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Inductive reasoning and nonverbal problem-solving
Arithmetic,wais5_05.3,wais5,WAIS-5,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Timed,npsych_test,scaled_score,Solving math word problems in working memory
Digit Sequencing,wais5_06.1,wais5,WAIS-5,Attention/Executive,Working Memory,Verbal Working Memory,Attention,verbal,Untimed,npsych_test,scaled_score,Maintenance and resequencing of progressively lengthier number strings in working memory
Running Digits,wais5_06.2,wais5,WAIS-5,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,,npsych_test,scaled_score,Performance on a Working Memory subtest that measures auditory working memory that requires both flexibility in information processing and a progressive shift of attention
Digits Backward,wais5_06.3,wais5,WAIS-5,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,Working memory for orally presented information
Digits Forward,wais5_06.4,wais5,WAIS-5,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,scaled_score,"Auditory attentional capacity, or how much information can be processed at once"
Letter-Number Sequencing,wais5_06.5,wais5,WAIS-5,Attention/Executive,Working Memory,Verbal Working Memory,Attention,Verbal,Untimed,npsych_test,scaled_score,Maintenance and resequencing of progressively lengthier number and letter strings in working memory
Symbol Span,wais5_06.6,wais5,WAIS-5,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,"The patient's ability to encode, maintain, and recall visual information in short-term working memory"
Spatial Addition,wais5_06.7,wais5,WAIS-5,Attention/Executive,Working Memory,Nonverbal Working Memory,Attention,Nonverbal,Untimed,npsych_test,scaled_score,A visual working memory measure that assesses a person's ability to remember and manipulate spatial locations while maintaining other visual information in working memory
Coding,wais5_07.1,wais5,WAIS-5,Attention/Executive,Processing Speed,Cognitive Efficiency,Planning,Nonverbal,Timed,npsych_test,scaled_score,"Efficiency of psychomotor speed, visual scanning ability, and visual-motor coordination"
Symbol Search,wais5_07.2,wais5,WAIS-5,Attention/Executive,Processing Speed,Perceptual Speed,Planning,Nonverbal,Timed,npsych_test,scaled_score,Visual-perceptual decision-making speed
Naming Speed Quan.,wais5_07.3,wais5,WAIS-5,Attention/Executive,Processing Speed,Verbal Processing Speed,Sequential,Verbal,Timed,npsych_test,scaled_score,Performance on a Processing Speed subtest that measures numerical processing fluency and the ability to recognize and label quantities efficiently
Full Scale (FSIQ),wais5_01,wais5,WAIS-5,General Cognitive Ability,General Intelligence,Full Scale IQ,,,,npsych_test,standard_score,General intellectual ability
General Ability (GAI),wais5_02,wais5,WAIS-5,General Cognitive Ability,General Intelligence,General Ability Index,,,,npsych_test,scaled_score,A subset of intellectual functioning with reduced influences of working memory and processing speed
Verbal Comprehension (VCI),wais5_03,wais5,WAIS-5,General Cognitive Ability,Knowledge,Crystallized Knowledge,,,,npsych_test,standard_score,"Verbal Comprehension (i.e., the ability to verbalize meaningful concepts, think about verbal information, and express oneself using words)"
Visual Spatial (VSI),wais5_04,wais5,WAIS-5,General Cognitive Ability,Reasoning,Spatial Reasoning,,,,npsych_test,standard_score,The patient's ability to evaluate visual details understand spatial relations among objects and construct geometric design using models
Fluid Reasoning (FRI),wais5_05,wais5,WAIS-5,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,"Fluid Reasoning (i.e., the ability to use reasoning to identify and apply solutions to problems)"
Working Memory (WMI),wais5_06,wais5,WAIS-5,General Cognitive Ability,Working Memory,Working Memory Index,,,,npsych_test,standard_score,"Working memory (i.e., the ability to consciously register maintain and manipulate auditory and visual information)"
Processing Speed (PSI),wais5_07,wais5,WAIS-5,General Cognitive Ability,Processing Speed,Processing Speed Index,,,,npsych_test,standard_score,Ability to quickly use reasoning to identify and apply solutions to problems
Cognitive Proficiency (CPI),wais5_08,wais5,WAIS-5,General Cognitive Ability,Executive,Attentional Fluency,,,,npsych_test,standard_score,Index of cognitive processing proficiency that reduces crystallized knowledge verbal reasoning and fluid reasoning demands
Nonmotor (NMI),wais5_08.1,wais5,WAIS-5,General Cognitive Ability,Motor,Nonmotor,,,,npsych_test,standard_score,Performance on a composite score designed to provide a measure of cognitive abilities that is less susceptible to the influence of motor skills or expressive language difficulties
Similarities,wais5_03.1,wais5,WAIS-5,Verbal/Language,Reasoning,Word Reasoning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and abstract reasoning
Vocabulary,wais5_03.2,wais5,WAIS-5,Verbal/Language,Knowledge,Word Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and word knowledge
Comprehension,wais5_03.3,wais5,WAIS-5,Verbal/Language,Knowledge,Acquired Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Practical knowledge and judgment of general principles and social situations
Information,wais5_03.4,wais5,WAIS-5,Verbal/Language,Knowledge,World Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,General world knowledge and ability to recall and understand information
Block Design,wais5_04.1,wais5,WAIS-5,Visual Perception/Construction,Construction,Block Construction,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,Understanding visual-spatial relationships to construct unfamiliar geometric designs from a model
Visual Puzzles,wais5_04.2,wais5,WAIS-5,Visual Perception/Construction,Perception,Mental Rotation,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,A measure of visual-perceptual reasoning and mental transformation abilities that requires examinees to solve visual puzzles within a time limit
Matrix Reasoning,wais5_05.1,wais5,WAIS-5,Visual Perception/Construction,Reasoning,Nonverbal Reasoning,Simultaneous,Nonverbal,Untimed,npsych_test,scaled_score,Inductive reasoning and nonverbal problem-solving
Figure Weights,wais5_05.2,wais5,WAIS-5,Visual Perception/Construction,Reasoning,General Sequential Reasoning,Simultaneous,Nonverbal,Timed,npsych_test,scaled_score,General sequential (deductive) reasoning and quantitative reasoning
Set Relations,wais5_05.4,wais5,WAIS-5,Visual Perception/Construction,Reasoning,Nonverbal Reasoning,Simultaneous,Nonverbal,,npsych_test,scaled_score,Performance on a Fluid Reasoning subtest that measures deductive reasoning and logical thinking
Full Scale (FSIQ),,wasi2,WASI-II,General Cognitive Ability,General Intelligence,Full Scale IQ,,,,npsych_test,standard_score,General intellectual ability
Perceptual Reasoning (PRI),,wasi2,WASI-II,General Cognitive Ability,Reasoning,Fluid Reasoning,,,,npsych_test,standard_score,"Fluid Reasoning (i.e., the ability to use reasoning to identify and apply solutions to problems)"
Verbal Comprehension (VCI),,wasi2,WASI-II,General Cognitive Ability,Knowledge,Crystallized Knowledge,,,,npsych_test,standard_score,"Verbal Comprehension (i.e., the ability to verbalize meaningful concepts, think about verbal information, and express oneself using words)"
Similarities,,wasi2,WASI-II,Verbal/Language,Reasoning,Word Reasoning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and abstract reasoning
Vocabulary,,wasi2,WASI-II,Verbal/Language,Knowledge,Word Knowledge,Sequential,Verbal,Untimed,npsych_test,scaled_score,Verbal concept formation and word knowledge
Decoding Fluency,,wiat4,WIAT-4,Academic Skills,Reading,Reading Fluency,Sequential,Verbal,Timed,npsych_test,standard_score,Phonic decoding fluency
Essay Composition,,wiat4,WIAT-4,Academic Skills,Writing,Writing Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,Spontaneous writing fluency at the discourse level
Math Fluency,,wiat4,WIAT-4,Academic Skills,Math,Number Facility,Simultaneous,Nonverbal,Timed,npsych_test,standard_score,"An overall speed/fluency in solving fact-based addition, subtraction, and multiplication problems"
Math Fluency–Addition,,wiat4,WIAT-4,Academic Skills,Math,Number Facility,Sequential,Nonverbal,Timed,npsych_test,standard_score,Speed of addition fact fluency
Math Fluency–Multiplication,,wiat4,WIAT-4,Academic Skills,Math,Number Facility,Sequential,Nonverbal,Timed,npsych_test,standard_score,Speed of multiplication fact fluency
Math Fluency–Subtraction,,wiat4,WIAT-4,Academic Skills,Math,Number Facility,Sequential,Nonverbal,Timed,npsych_test,standard_score,Speed of subtraction fact fluency
Math Problem Solving,,wiat4,WIAT-4,Academic Skills,Math,Mathematical Knowledge,Simultaneous,Nonverbal,Untimed,npsych_test,standard_score,"Applying mathematical principles to real-life situations, ranging from basic concepts, everyday applications, geometry, and algebra"
Mathematics,,wiat4,WIAT-4,Academic Skills,Math,Quantitative Reasoning,Simultaneous,Nonverbal,Untimed,npsych_test,standard_score,An estimate of overall mathematics skills in the domains of math comprehension and problem solving and math computation
Numerical Operations,,wiat4,WIAT-4,Academic Skills,Math,Mathematical Achievement,Simultaneous,Nonverbal,Untimed,npsych_test,standard_score,"Paper-and-pencil math calculation skills, ranging from basic operations with integers to geometry, algebra, and calculus problems"
Oral Reading Fluency,,wiat4,WIAT-4,Academic Skills,Reading,Reading Speed,Sequential,Verbal,Timed,npsych_test,standard_score,Oral reading fluency
Orthographic Choice,,wiat4,WIAT-4,Academic Skills,Reading,Reading Orthography,Sequential,Verbal,Untimed,npsych_test,standard_score,"Orthographic knowledge, or the quality of stored orthographic representations (i.e., correct word spellings)"
Orthographic Fluency,,wiat4,WIAT-4,Academic Skills,Reading,Reading Speed,Sequential,Verbal,Timed,npsych_test,standard_score,"Orthographic lexicon, or sight vocabulary fluency"
Orthographic Processing,,wiat4,WIAT-4,Academic Skills,Reading,Reading and Writing,Sequential,Verbal,Untimed,npsych_test,standard_score,"Overall measure of orthographic processing, including the size of the examinees orthographic lexicon and the quality of orthographic representations"
Pseudoword Decoding,,wiat4,WIAT-4,Academic Skills,Reading,Reading Decoding,Sequential,Verbal,Untimed,npsych_test,standard_score,Phonic decoding skills as assessed by reading aloud a list of pseudowords
Reading,,wiat4,WIAT-4,Academic Skills,Reading,Reading Decoding,Sequential,Verbal,Untimed,npsych_test,standard_score,A composite score of decoding and comprehension that balances word-level and text-level reading skills
Reading Comprehension,,wiat4,WIAT-4,Academic Skills,Reading,Reading Comprehension,Sequential,Verbal,Untimed,npsych_test,standard_score,"Reading comprehension skills at the level of word, sentence, and passage"
Reading Fluency,,wiat4,WIAT-4,Academic Skills,Reading,Reading Speed,Sequential,Verbal,Timed,npsych_test,standard_score,"A composite measure of overall oral reading fluency skills, including  reading in context and in isolation"
Sentence Composition,,wiat4,WIAT-4,Academic Skills,Writing,Writing Ability,Sequential,,Untimed,npsych_test,standard_score,Sentence formulation skills
Spelling,,wiat4,WIAT-4,Academic Skills,Writing,Spelling Ability,Sequential,,Untimed,npsych_test,standard_score,Written spelling of words from dictations
Total Achievement,,wiat4,WIAT-4,Academic Skills,Academic Achievement,Total Achievement,,,,npsych_test,standard_score,"Overall academic achievement in the areas of reading, math, and writing"
Word Reading,,wiat4,WIAT-4,Academic Skills,Reading,Reading Decoding,Sequential,Verbal,Untimed,npsych_test,standard_score,Single word reading/decoding of a list of regular and irregular words
Written Expression,,wiat4,WIAT-4,Academic Skills,Writing,Writing Ability,Sequential,,Untimed,npsych_test,standard_score,Overall written expression skills including spelling and expository/contextual writing
Full Scale IQ (FSIQ),wisc5_01,wisc5,WISC-V,General Cognitive Ability,General Intelligence,Full Scale IQ,,,,npsych_test,standard_score,General intellectual ability
